tweet	label	length	fold
i can't wait for the weekend ! #wootwoot	1	0.2	3
ahahaha sooo they know its r e a l	1	0.17	1
not unless we can find him jobz love in the next week . breaks muh wee heart , but ill bring back pbutter mms	0	0.545	1
doing my hair and  doing my make up ! definitely ready for prom	1	0.315	5
super super super ( insert way more supers here ) excited for dark shadows ! ! let #getdepponouta ! ! !	1	0.515	3
"begin the challenge with c # { console.readline ( "" enter your name "" string x = console.readline ( console.writeline ( welcome {  } , x }"	0	0.69	4
i'm at school so you won't be a loner	1	0.185	4
whatever	1	0.04	3
i cnt sleep , this migraine killing me ,	0	0.2	4
the shit is about to hit the fan , hard .	1	0.205	5
but todays still gonna be interesting	1	0.185	1
kissing a girl on the cheek ( good ) . kissing girl on the lips ( awesome ) . kissing girl in front of her ex ( boss ) .	1	0.6	2
needs to get my jewelry .. make up .. hair .. and shoes for prom . ! so ready ! !	1	0.405	2
i'll take u chocolate lol	0	0.125	2
happy birthday to  ! ! ! < you're gettin old man !	1	0.25	3
finally fridayy	1	0.075	5
you earned it booboo	1	0.1	5
hello there love ! saw you tweeting abt food earlier :p gc's tomyam fried rice dah tak layan sgt no more oomph	0	0.55	5
there was alot of drama and i just saw it all and felt soo bad when louis tweeted that , felt so sorry for him xx	0	0.565	2
who * you * creep on lmao . i dont have my phone	0	0.24	1
dj fresh somebody that i used to know feat . rita ora ( radio  ' s live lounge	0	0.39	5
yah rt  no .. with a potato rt  with meat ? rt  am i in love ?	0	0.31	1
kathy to me you look soo beautiful and really sexy and really soo gorgeous also really sweeet to me ...	1	0.515	1
u all look gud together	1	0.115	1
chrysler imperial  door automatic carpet - black (         number of pieces included ...	0	0.44	1
it's my hubby's birthday today and as a die hard raider fan can i get him a rt ? !	1	0.41	1
i want a kiss from her	0	0.11	1
strategic marketing management , th edition ( paperback strategic marketing management ( th edition ) offers a c ...	0	0.58	4
we should go next saturday	1	0.13	1
i never realized how sweet some of the janitors are	1	0.255	2
so nobody followed  ? where are my directioner at ? < please follow her <	0	0.365	3
can you guys follow my personal account ? !  (  live on	1	0.275	5
my nigga lisa always here for a nigga i love that hoe lowkeyy	1	0.305	4
jetboil pot support and stabilizer kit ( sports the pot support and stabilizer helps dramatically expand the fu ...	0	0.575	2
i wanna be as tan as i was last year	0	0.18	1
high till i walk up to the pulpit and fly	1	0.205	1
don you find that topic attractive ?	1	0.18	3
may have used too much ... my skin feels like its peeling off layer by layer	0	0.38	1
i'm excited for whatever we do ! i havent seen you in forever	0	0.305	1
screwed with this paper ! #computerprobs #english is gay .	0	0.29	5
lumiquest snoot ( electronics the snoot isolates the light to a very specific area . automatic operation may be ...	0	0.575	2
ugh i think i am unconsciously clenching my teeth today . jaw hurts bad	0	0.355	3
other tattoo gettin on next monday tht says fly haha	1	0.26	1
how was today ? haven't been talking to you all day !	0	0.265	2
that smile dont last long does it , but im good so far i got you my robin xxx	1	0.385	3
i want to join a poem making contest wherein entry fee is free . i can't find	0	0.385	2
this is the best i've felt in a while	1	0.185	2
"just got this text from  "" i had to take my bracelet off today .. ( ( ( a little part of me died """	0	0.49	4
valuepack (  count includes expedited shipping at checkout with replacement epson ink cartridges for select pr ...	0	0.57	4
i feel so emotional right now .. im about to listen to some boosie !	0	0.34	2
guess you're not the person i thought you were	0	0.23	5
i don't know but guess what ? ! ? no more split shifts ! ! ! #almostfree	0	0.36	2
going cut up some hair	1	0.11	2
it's only after someone is gone do you realize how much you miss them ? ? pls open ur mind n think think n think	1	0.56	4
i'm at work but i'm not sure when until , probably	0	0.25	4
my nap nap wasn't enough	0	0.12	5
it's so rare for me to et a reply off	0	0.185	5
hello perrie ! how are you and leigh , jesy n jade ? xxx	1	0.28	3
but u ddnt have to cut me off )	1	0.155	3
come and put your name on it , your name . bet you wanna put your name on it , put your name on it . come and put your name on it , ba-ba-baby	1	0.71	3
dixon valve bfm  .  inside diameter brass ferrule ( bag of	0	0.29	3
he has so much going for his future . and i support him . it's just going to be hard and ima miss him like hell	0	0.555	3
""" c "" is for ( please insert sophomoric genitalia reference here ) e . p . ( mp download"	0	0.44	3
good morning lb . ty for the warning	1	0.18	2
rt  #ificanthaveyou ... well , then no one can	1	0.23	3
go back & do standard grade art .. sounds silly just now but would help x	1	0.365	1
who went to imats in nyc ?	1	0.13	2
she changed her avi ... cnt see it tho	0	0.19	5
thanks ! we had a blast and here's the proof	1	0.22	3
lol it's not even funny , these fixtures . i have a purple mark n lump on my thigh from about a months ago ! soz bruv workin mro ?	0	0.65	3
mindscope magzphere ( difficulty  of  object : put the colored dots in the right spot the magzphere  - d puzzl ...	0	0.57	4
i know i was ! ! !	1	0.09	4
i everyday wake up so early . i more tired ...	0	0.23	2
art models  : life nude photos for the visual arts ( art models series ) ( no .  ) ( hardcover while no book can re ...	0	0.595	3
top of the morning !	1	0.1	4
i need more animes to watch . i also need a life . #foreveralone my eye hurts a bit too ..	0	0.45	2
well you can always pass the time with the internet i heard that the speed there is fasttt	0	0.45	1
vee misses  and the walks ! !	0	0.145	2
* pushes  in mud and cuts up her clothes * ness can't make it	0	0.305	5
""" hummus ""  very funny"	1	0.11	3
i still haven't found a top	0	0.135	1
i know rt  why are you this fine	0	0.16	1
the red cross of gold xvii : . full circle : assassin chronicles ( kindle edition the entire order of the red cros ...	0	0.59	3
i know ! ! but the only way i see alyssa is at school ... #sadbestfriendlife so dont feel left out ! haha	0	0.525	1
conquering deception ( paperback ever wonder if youre hearing the whole story in a conversation ? conquering de ...	0	0.575	4
we love gatorade lol rt  swear i'm about to drink one now ! rt  that fruit punch gatorade was the business	1	0.53	2
but i still have more to do tomorrow	0	0.18	4
i thought i was the only one who still listened to that . lol	1	0.305	5
yes sorry ive got no credit but what a cutie piee ! ! ! i love him ! :')	0	0.36	4
fame tour  !  most amazing night ever .. so close but yet so far away	0	0.345	1
reaction time ( kindle edition five days . close quarters . its enough to drive any woman crazyor into submissi ...	0	0.575	2
nope hun , not a leather ! like this one . well umm , i have  actually ...	1	0.37	1
i thought she is with me < i love this rusher girl . but i think she's trying to make me jel .	0	0.47	3
i'm just sitting here thinking , and it's making me sad .	0	0.285	2
i've been at church all morning ! ! ! i wanna leave	0	0.255	4
bring him home ( from les miserables ) ( hal leonard discovery plus band series grade  score and parts for conce ...	0	0.58	1
gigabyte technology ga - ipe pro-g mb memory ram upgrade ( a-tech brand mb ddr -  ( pc ) for gigaby ...	0	0.515	2
book design ( abrams studio ) ( paperback from award-winning writer and designer andrew haslam comes the final wo ...	0	0.585	1
c drk ( digital radio kit the digital radio kit ( drk ) is intended to aid in the development and test of algori ...	0	0.58	2
"ya neh .. you were there in spirit ""   am good hey ... yo man heard about the funeral , pity i couldn't make it . """	1	0.575	5
sure i do i know another person from indnesia :p it must be nice livin in here	1	0.39	4
"""  any grenades involved with me and my ' past life ' #losemynumber "" f * ckin better #gross"	1	0.46	3
paiste concert and marching a & b pair hand cymbals (  inch medium paiste concert and marching a & b pair han ...	0	0.565	1
im following the first  people to follow  &  rt if you want me to follow you !	1	0.39	3
the #flyers goalies and defense had no #jam tonight	0	0.255	5
want molly from the saturday's hair #wah	0	0.2	1
oh my god ! i think i can name everyone in that picture . huge nostalgia for me in that pic ... i miss being a kid .	0	0.58	3
whyyy is it only tuesday	0	0.12	1
love too get moe out of the uk more than i do haha how about a test run at barca haha	1	0.425	1
i don't care what you heard and what's been said ... i'm dat bitch	1	0.33	2
hahah either way works but if you come down here make sure you bring stripper with you i wanna pull her fake hair out !	1	0.595	4
ayyy what you said ! ! ! i must say you are pretty tight yourself lol	1	0.345	3
cables to go  m sas  - pin to  sas  - pin +  - pin power cable ( red  gbps serial interface delivers the ...	0	0.54	5
yeah , nice people like you don't deserve to be in pain	0	0.275	4
getting reamed on taxes kept me from seeing pulp last night . as a result i'm considering becoming a republican	0	0.555	2
i will i got a few visions of healing so i'm really motivated to see results ! !	1	0.4	1
except when you're with me ! i mean our friendship is just that legit ! :p	1	0.37	2
everyone follow this brilliam directioner  ! ask for a follow back , she will	1	0.385	3
kelsey , you're too ! i love you , that seriously made my whole day . i miss you ?	0	0.41	1
i do . hahah doesn't snow here ( it must be so nice ! it's one of the things that i would love to do .. play in the snow hahah	0	0.63	5
am so lost ! ! timeline is flooded with a lot of things and i dont know it ! !	0	0.39	4
i on tv dun have jiro alr but i admit xiaogui is so shuai today ! <	0	0.335	4
i found an iranian guy exactly like u	0	0.185	1
with  for the night	1	0.095	1
eeew im peeling isnt that like a white mans thayng ! whoever said black dont crack was soo wrong * calls daddy * #mortified	0	0.615	4
i can't find my charger . and my phone is on  %	0	0.235	3
"""   loool your a joka ! "" - thanks"	1	0.17	1
another low quality shot in the campsite haha . sery ) )	1	0.28	4
fine and yourself ? and thank you now its time to lose the baby weight ! ! ! help me ! ! !	1	0.45	4
must say ... i prefered black ops to waw and mw if that means anything	1	0.35	4
truthfully i was bored at work but u right wawa thanks	1	0.27	5
#liamssecretoftheday i'm having such a great day	1	0.24	2
it's hard out here for it po ' pimps , yes .	1	0.22	5
dont change  someone , be who u truly are	1	0.205	5
i absolutely loved your shirt today ! !	1	0.195	5
we have started our new dance , which we sing in aswell ,	1	0.285	2
hihi , im from holland ) sory for my late reaction	1	0.25	2
magandang hapon ! ) ) ) goodvibes all the way ! :d	1	0.25	5
asif i have to stay in college till  #hatecollegewithapassion	0	0.305	1
maybe its the weather that got you happy	1	0.2	3
lmaooo we never got em ! ! yall had cardigans and shit lol	0	0.29	1
mre like very thankful then f curse happy ! ! lking frward t helping my parents ut . all thanks t the man abve	1	0.55	5
lol how can you drop this < lool i'm sorry but dw i'm half anyways	0	0.33	1
"mscheww ""  i feel soo sorry for u =) ) ""  lool buh uve started ""  i haven't gone anywhere with this hair"	0	0.52	1
i know right boo hoo	0	0.1	3
that bullshit moment when you see someone around school or mall wearing your clothes . some friends	0	0.495	2
dude , i just chocked on chip i went to go grab my pop and it was finished . i finally coughed it up .	0	0.51	3
if course that's wut we r all here for to help each other any way we can specially prayer ! ! hope everything works out .	1	0.605	3
ayn rand complete works vol .  ( new edition ayn rand's anthem the novel by ayn rand worldwide bestselling auth ...	0	0.575	5
boxwave slimline capacitive kindle fire stylus ( crimson red boxwave's award-winning family of stylus products ...	0	0.57	2
thank you ! !	1	0.065	2
stop moving things around in your room , now is not the time to remodel :p #goodnight	1	0.425	3
"hahaha yes ! and wolowicz & raj are in the background like "" what have we done ? """	1	0.41	1
homemade tortillas chicken and beans all made by me	1	0.255	1
job world-bank ( ifc - nairobi - kenya senior investment officer , agri ...  quant ib finance jobs	0	0.49	1
the fifth child ( isis series /  audio cassettes classic horror of a family torn apart by the arrival of ben , th ...	0	0.585	4
going to cut down on twitter . i use it too much and nobody even talks to me . so yeah , starting from tomorrow i won't be on as much	1	0.665	4
disney should make a hairless princess , so the little girls with cancer can feel beautiful too <	1	0.485	4
i don't want them to make fun of me (	0	0.185	5
last night wasn't nice , seeing a man dead on the floor as the ambulance couldn't save him after getting hit by a car	0	0.585	3
hahaha i think you got your self confused with me ! <	1	0.265	2
i just read your tweet ! btw you guys are always welcome xx	1	0.295	4
sometimes i really wanna fast forward to when i leave , then other times i wanna pause . ima miss my friends	0	0.54	4
you are definitely doing the right thing , asking twitter and all .	1	0.335	4
haha thts what i'm doing , okayyy #youreannoying	1	0.24	2
my grades aren't looking the best this quarter but i still have a . gpa ? i love my ap classes	1	0.47	3
so ... not gonna lie , i kinda tear'd up when rose let go of jacks hand and watched him float away	0	0.49	5
being a part of something the future will talk about #kony #kony #invisiblechildren #support	1	0.46	4
cheers bro great having you on tour ! miss it	0	0.225	1
i love how the b asking d cute questions when he comes by her places is like how d asked her the island qs in x #dair	1	0.585	1
naked eating macaroni & cheese .. that's how i do	1	0.245	5
i forgot to put lotion on my legs	0	0.165	5
tweet and upload something about ssina oppa !	0	0.225	4
i wish i could dance like chris brown ..	0	0.2	5
you'll never tweet me or follow me or notice me will you ? i have supported you all the way and tweeted you for ages !	0	0.59	1
"x picture frame / poster frame  "" wide complete brown candlewick frame ( wboak this frame is manufactured ..."	0	0.545	2
my wine glass pft  (  i was desperately holding on to my sandwich while we had sex .	0	0.42	2
& i was here feeling all special and shit . but yea (	0	0.265	5
bored niggas ! ! hate having nothing to do sucks having no friends	0	0.33	2
damnnn your twitcon is bomb as fuck ! ! !	1	0.205	2
yep changed my name ! i still love , love , love  though ! xx	1	0.305	3
i know , of course he is	1	0.12	5
i wanna learn thai	0	0.09	5
oklahoma sooners ncaa cajun seasoning ( oz the ? ultimate seasoning for true cajun flavor ! for meat , eggs and c ...	0	0.585	1
the life and times of cotton mather ( hardcover reintroducing kenneth silverman's pulitzer prize-winning biogra ...	0	0.575	5
the little prince ( dvd a wandering child from a faraway place comes upon a pilot who crashlanded in the sahara ...	0	0.575	1
me too maybe we should sleep together ?	0	0.195	4
marvin hasn't come home with us tonight but he did eat a little bit while we were there , so that's good news ! xxx	0	0.575	5
im not flirting . im just being extra nice to someone who is extra attractive .	1	0.395	2
yes my fav white girl	1	0.105	4
i really dunno how to answer that it should be a  marker as the last question in higher maths to show how bad it is	0	0.575	4
actually i saw you guys back in '  when you came to the fair in shreveport / bossier , louisiana . still awesome	1	0.56	3
follow me please ? your amazing	1	0.155	1
and so are the accents they just refuse to give up . and yeah complaining is every human's birth right	1	0.51	2
checked on my cut on my ankle , took the dressing off and it ripped again , try the next type of plaster / dressing . :/	0	0.6	4
heey sis <  will you vyrt ? )	1	0.145	1
all this is weighin heavy on my heart wishin i had somebody to talk to ... jus gonna call it a night .	0	0.51	4
poorkay a day without you is like a day without the sun	0	0.275	3
awww i got u babes ! thank u ! means a lot to me muah	1	0.265	3
it's you < rt  maybe that eli is other ( and no me	0	0.25	3
niall followed everyone i asked him to yesterday ! rt and i'll give him your name [ must follow  ]	1	0.49	1
haha i'm sure you could get one in hogs	1	0.195	2
#ff  because i know he rocks !	1	0.15	1
my phone is about to die soo i had too turn it off	0	0.25	1
thnx broo i really appreciated	1	0.15	2
im tha bitch he need	1	0.1	3
winka  paste this on the chat box and see the magic ! ! ) ~ aryan ~	1	0.335	1
im trying ! thank u rt   bet keep doing ya thang . i c u doing big things .	1	0.375	4
happiness is like perfume : you can't pour it on somebody else without getting a few drops on yourself . - van der zee . have a great day !	1	0.695	4
i have more followers than jesus .. he had  i have  #boom .. we could swap over every now and again #idea	1	0.525	4
haha thanks beb ... you don't understand how shit my morning has gone x	0	0.355	2
". "" dia . x . "" straight ,  spoke , .  hole , w / solid handle , cast iron , hand wheel (  each these handwhee ..."	0	0.57	4
sheer thigh hi with stay up silicone lace top ( red , one size	0	0.31	2
"lololol :d ""  baby i'm ready for you  > > >"	1	0.215	5
i dreamt of happy places , people and nice food . korea & malaysia . made me smile in my dream . first time in my life	1	0.59	4
the lane that had no turning ( webster's hungarian thesaurus edition this edition is written in english . howeve ...	0	0.58	5
ok i'll add you ! but i can't skype tonight . i have to clean my room	0	0.345	1
"have a last holiday rt  good morning too oliph .. rt ""  good morning , have a last holiday"	1	0.45	4
. mediabridge ultra series - dual shielded subwoofer cable - rca to rca gold plated pro grade connectors (  feet	0	0.56	3
even on my weakest days , i get a little bit stronger .	1	0.275	1
marry me now ! coming to london , woohooo	0	0.205	1
i made some koolaid , who wants some ? shiiits good	1	0.255	3
not allowed to do any more .. im getting threats about people clicking ' unfollow ' sowwy	0	0.445	2
, all work no play ? ?	0	0.11	2
season  bgc had the most weakest , worst weave wearing , punk following bitches of all time season  was  of my favs	1	0.575	3
hehe raise hands am from ibadan rt  ibadan girls , be proud of your tribal marks ! if you photoshop #godiswatchingyou	1	0.585	5
that's weird . a pigeon flew into my window about a week ago .. and i live  floors up . poor little bro	0	0.515	4
( i got you ) she love it wen a nigga wispa in her ear ( i got you ) i tell her bby gal com on ova here ! ! man	1	0.555	4
glad to see you're both having a brilliant time ! lots of love , see you soon old lady xxx	1	0.45	4
class i hitch for mazda ~ protege ~ - ~ ~ round tube hitch , / lbs . ( tw / gtw class i hitch and rec ...	0	0.525	4
zebra technologies  cd maint manual s series cd maintenance manual ( for the s series	0	0.425	2
fuck the girl next to me smells sooo bad and i don't have any body spray so i had to put gel in my nostrils d; fuhhh	0	0.58	2
i didn't know if an onion was a vegetable so i asked maisie and now she is taking the mick out of me	0	0.5	5
i wish yasiin bey , ( mos def would make some more music ..	0	0.295	3
don't get too excited over this weather guys , it's raining later	1	0.325	4
hey i just met you , and this is crazy , but heres my number , sao call me bv <	1	0.395	2
"x custom picture frame / poster frame  "" wide complete honey pecan wood frame (  this frame is manufact ..."	0	0.535	1
what a win , happy birthday	1	0.135	1
syg , where are you ? raise your hand pls . cause i can't see you	0	0.325	3
i wish i was thick not fat tho !	0	0.16	2
juejue trippin on da salvia ( st tyme via  check this out just found out bout this thing salvia this is a whole new level of trip	0	0.645	3
u getting smart bitch ? rt  rt rt rt rt rt rt rt  you the only bitch singing ! #guilty	0	0.43	5
wow that's crazy .. but on a lighter note ... listen ? ? #deeplyuprooted	1	0.36	4
music for all occasions ( audio cd international version features one bonus track a beautiful cover of ' blue mo ...	0	0.58	1
come to our public meeting in southall next week if you're in the area ?	1	0.36	1
i'm sexy and i know it !	1	0.12	1
ye am fine , stuck at college how are you ? x x x	0	0.245	1
text me or something please x	0	0.145	1
i really want rihanna's figure ... or just a nice , skinny / curvy , toned figure	0	0.405	4
how yu been ? ? ?	1	0.085	1
luvvv u more syonggg really bad too miss u girlzzz	0	0.25	4
thanks for the card for the girls xxx hope all ok	1	0.245	3
still haven't got noticed by  * cries * xx	0	0.21	1
great trailer ! i had to laughed so much .	1	0.21	1
pussy wetter than ever , enough to sink the boat	1	0.24	2
men's merrell encore storm ( . m in black slide without slipping - through cold weather conditions witho ...	0	0.54	3
thank you - i feel awful not rough just x	0	0.205	2
meeean ! tune in .   not yet man ! website will be up and running very soon with streaming ! until then . !	1	0.535	2
they don't want a washed up , underachieving , choke artist like luongo , they want a young , solid , promising goalie #bernier	1	0.635	4
i have a presentation to do a : really upset in going to be missing the sister circle hair show	0	0.475	4
taylor says everything i need to hear and its like i couldnt ask for anything better	1	0.42	4
things are finally coming together	1	0.17	5
what do you want to be in my phone ? whatever you want me to be	1	0.315	1
rt if your heart is on ... and hard	1	0.175	5
guidelines for marine protected areas ( travaux et recherches the world urgently needs a comprehensive system o ...	0	0.575	2
why haven't i been able to get on the game atal this weekend ?	0	0.31	4
night !  mooore month puhlease . ( (	0	0.18	5
first pic with sierra's iphone / birthday pic #loveyouu < #spanishbuddies	1	0.365	1
well if that's true then good for her because otherwise she'd be a waste on humanity raa	0	0.44	5
why do i still feel like shit ? just want to be better .	0	0.28	3
listening to barbara streisand and realizing how i'm not gonna be called smayls at home	0	0.435	3
to bad icant play these games im not from the us nor uk .. but still #tm ! iloveyouguys ! and please followback !	0	0.565	2
rt   i bet he's bragging about you and all the time you had together / / he better ) #quiteahandful	1	0.495	2
i'm sorry that still sucks	0	0.13	3
hoping we get some before we they go as you have to pick them up in person was in lincoln last week if only i'd known	0	0.585	4
cingular blackjack minisync - complete essentials kit ( us outlet plug , cleartouch crystal the minisync - compl ...	0	0.58	2
i aint bin high in a minute ! its only right to do it on the day !	1	0.33	4
lol i see that i love you	1	0.125	2
i love you my pokemon , thanks for being here for me <	1	0.27	5
moving beyond the hurts of life ( discovering the joy of strategic living  audio tapes with workbook	0	0.5	4
don quixote ( hardcover edith grossman's definitive english translation of the spanish masterpiece . widely rega ...	0	0.58	3
days to leadergyu's birthday	1	0.14	4
thanks	1	0.03	1
i already miss you like a fatass kid would miss food ! ! ! wahhh	0	0.32	5
they say harry styles have gf ! ! that puts me mad and sad ...	0	0.31	3
"i just suscribed to a channel called "" pigeonsaspets "" on youtube"	1	0.325	3
"lishman's organic psychiatry : a textbook of neuropsychiatry ( hardcover "" for three decades psychiatrists have t ..."	0	0.585	4
sweatpants , hair tied , chilling with no make up on	1	0.26	3
hi guy im french where do you live ? (  live on	1	0.235	4
just dm'd it to you	1	0.095	2
why what's wronnng	0	0.09	4
"""  i would love to see ___ & ___ duet on a new song ! "" bruno mars & miley cyrus ."	1	0.41	4
awesome advice , i'll work on it . thanks for your patience , i really am trying to improve each time . appreciate the feedback !	1	0.645	2
i want you to hold my hand in front of your friends .	1	0.265	1
alright its twitter official now , now we got something to look forward besides the heat and lakers	1	0.495	3
dynamic aikido ( bushido--the way of the warrior ) ( paperback aikido-a martial art deriving its effectiveness , l ...	0	0.59	2
why do you have to ask . i don't wanna say i'm scared lol mando call me !	0	0.365	3
colloquial thai ( colloquial series this second edition of colloquial thai has been revised and updated to make ...	0	0.575	4
i miss my stubby  but i don't have her number	0	0.225	2
hey love ! about the inbetweeners dance thing before the show go around and tell everyone !	1	0.455	1
garnier nutritioniste ultra-lift targeted deep wrinkle treatment -  oz ( pack of	0	0.4	3
oh cool ! someone in my athletics club also has their bday tomorrow ! mines on the  . of may	1	0.46	1
feel so sick must recoop from the  hours of sleep i got last night #sweetdreams	0	0.395	5
losing anyone is hard , but losing michael jackson ? it's like losing all the love , hope , innocence and peace in the world	0	0.62	3
rt  i'm going to miss subic love you guys ! ! rt this pls hehehe	0	0.32	3
ohhh haha . well its cool anyways	1	0.165	2
in bahrain , together with malaysia , the only circuit in #f i have won so far  times .. ! ) ) ) ..	1	0.495	4
so  isn't the most annoying all of the time - just some of the time  words ! ! !	1	0.4	3
could i move up higher like	1	0.135	3
cuteee rt  one of my fave pics of  and i	1	0.2	1
yes , yes we are	1	0.08	3
mcm documentary on him . nk introduce as an athlete . tp dh hbs dh * sobsob	0	0.375	2
"you see people who put up statuses saying "" ping me "" if you wanted to talk to someone you'd bbm them so shut up innit"	1	0.59	1
seriously though , the genesis is fucking sexy and i wanted it first . even ask my parents	0	0.45	5
follow me back please	1	0.105	5
only  subs away	1	0.075	1
been getting calls all week from a very persistent telemarketer named alex dushae ... i always pretend its alex duprae from oth	1	0.635	5
i miss you more than anything { }	0	0.165	1
got to go get this in before  get here ... it's a must , on the big comfy	1	0.365	5
i dont ask for too much jus a guy dat is #faithful , #real , #trustworthy , #reliable , i dont want u to be perfect jus my superman #single	0	0.695	4
never go to these thing anymore . pay to get myself in deep shit .	0	0.33	4
i needa find  more asian girls for my sweet  by next week ! ! / / i wish i was	0	0.39	5
smh ain't heard from #oomf in days	0	0.17	1
glad schools over and i'm home	1	0.15	1
asdfghjkl another imaginee . i'm gunna post it tonite . make erryone waitt	1	0.37	1
nooo theres no chocolate at home	0	0.16	1
you do ! lmao dude i've been listening to so much old britney and it's makin me miss you for instance toxic lmaooo	0	0.57	2
yes ! i'll be there do you know when you're thinking about going ?	1	0.33	4
i like my internship cuz i wanna advocate  rights of individuals experiencing disabilities ( specifically children ) , i like politics	1	0.67	3
i missed it ! i missed it too	0	0.145	5
safe we'll have our chat again	1	0.15	4
actually reading < talking crap with  and	1	0.205	3
lol i guess the truth about things really hurt haha . it is what it is	1	0.35	1
lolol nooo we have to go ride our ostriches named chicken ! ! damn ... i wish we could .. anyways you hate me ! fine ? !	1	0.6	4
#previoustweet it became part of my daily life for more than  long years !	0	0.37	4
thank you for the baby food , ms . lawzeski	1	0.215	2
ipearl mcover leather folio cover for amazon kindle  keyboard model ( black ) ( electronics custom designed to f ...	0	0.58	1
omggg ino i hated it , goodluck lol	0	0.175	1
need me a hood nigga that can straighten me a lil bit	1	0.265	3
exxxactly	1	0.045	5
x  :  christian rock hits ( audio cd the x brand continues to be the quintessential release for the top ch ...	0	0.55	5
wow , great ! happy friday to you too ! #debbiedowner	0	0.265	1
hahaha :'d i know ms eason will probably have a concerned chat about our issues with us and oh i bet the fish were scared ha	1	0.62	3
why does twitter take away your sleep !	0	0.195	1
"""  seeing a girl with a great ass and just visualizing it without her clothes on ... #guystuff "" track"	1	0.51	3
getting in the car my dumbass hit my head on the car	0	0.26	4
hahahaa i just couldn't give a fuuuck ?	1	0.195	5
talk that talk , yeah i know im such a show off	1	0.235	1
i'd have gone to mixfest if the darn flights weren't so expensive	0	0.325	1
congrats ! ! ! gosh ... i wonder what your choice of music shall be ... realee curious ...	1	0.45	5
the kurt weill project ( audio cd sung in english , german , and french , the kurt weill project is a futuristic r ...	0	0.59	3
haha ! ) ) pero ironically , yun yung highest subject ko xd	1	0.295	1
spinny chips , spinach infused corn chips , .- ounce bags ( pack of  metz fresh , llc , founded in  speciali ...	0	0.56	2
lavender - al queda / scuba horse ( limited edition arists slik screen special limited edition slik screened fron ...	0	0.585	3
also be aware of these dates ! !  strike on my birthday !	0	0.285	2
still feeling down so i'm going asleep , let's hope tomorrow is going to be much better than today was ! :/	0	0.535	2
it's ridiculous i really want repulse lipgloss after seeing how it looks over the red lippy in your post . do you use it a lot ?	0	0.64	3
your icon is incredible :d i love his smile	1	0.215	5
the art of andrew dobell so far . . here's a screengrab can't wait to see skyrim barbie kick a * * ! !	1	0.51	4
good morning  hope you have a lovely day hun x	1	0.23	4
i already know ima be feeling myself this weekend	1	0.245	3
i'm looking at the flier for  walk a mile on / . those are  owner greg's legs ...  is a lucky girl .	1	0.5	5
compatible canon cli -  / pgi -  value pack ( w / chip this value pack contains total of  cartridges :  of each ...	0	0.575	4
niall horan followed everyone i asked him to yesterday ! rt and i'll give him your name [ must follow	1	0.505	2
"rt if you know what i mean by "" liam's secret """	1	0.235	4
you get your tweet next tuesday after dinner ! ! ! i'm spacing them out .	1	0.365	1
today is the st day this week that i've woken up without feeling ill happy days , have a good friday people xxx	1	0.555	1
one thing hard is when i hold your hand , and then i must let you go #hg	1	0.36	2
just in case ...   fashion tips for the faithful ! #pastorfashion	1	0.325	1
is sooo good at cooking stir fry i want it every time	0	0.265	1
that's fucking disgusting omf . the horror never ends	0	0.265	1
what i have may not be the best , buhh its the best for me	1	0.29	5
im thinking about chickens	1	0.13	3
everything is more calm now ... i'm just hoping to get some sleep after all this . thanx !	1	0.45	3
harvard yard ( mass market paperback peter fallon , the hero of william martin's bestselling novel back bay , has ...	0	0.585	2
interview went well game tonight , sun is shining ! #brilliant	1	0.31	5
thanks boo	1	0.05	5
check out my website  #illustration #creative #design #graphics	1	0.315	3
liam ! please follow  ! she is your buggest fan and is absolutely obssesed with your music please follow her	1	0.54	3
nooo i don't wanna go to work	0	0.145	1
loud music it is	1	0.08	3
you're welcome ! have a great weekend !	1	0.195	3
can't believe it has been  month since calzona fans take la & the grey's benefit .	0	0.41	2
it says the page couldn't be found	0	0.17	4
hehe yes we'll survive this & awww that's great ! of course you can ask , i'm from germany & you ?	1	0.49	4
blessings lady ! thanks for the shout . have a fab one	1	0.27	1
"""  i seriously love  she is one of my new best frannns foreva < "" daaaw ! ! i love yaaah too averie ! ! ! )"	1	0.535	3
the snooze button is my best friend !	1	0.185	5
retweet if you followed  so me and the boys can follow you right ! x don't lie !	1	0.4	1
as it is in belfast !	0	0.105	5
thank you very much everyone night night to alll	1	0.24	1
i hate it when #chipotle doesnt have an equal meat to rice ratio . i have all this rice but no more steak >	0	0.535	4
pat the husband : a parody ( spiral-bound dorothy kunhardts pat the bunny is a childrens classic , with million ...	0	0.575	1
you're welcome babe  thankyou baby  for my candy + - * ,	1	0.28	3
domino is #  on the top  charts right now just thought i should tell you	1	0.36	5
not happening thanks	1	0.1	4
we could make something happen lol jk we could be friends though	1	0.32	4
just cuz i deserve the best imma buy myself a new dress for next weekend . i need this ish to fit me in all the right places	1	0.62	1
just heard about what happened to #drose .. noo , my babe .. !	0	0.31	5
jeremy ignored the shit outta me yesterday , he thought i was some trick at school !	0	0.42	5
i knoww rigghhhttt . so annoying . as soon as i get mine we'll go !   one problem no car	0	0.44	3
ran thought the sprinklers like a little kid with zia and the babeys	1	0.34	1
the return of depression economics and the crisis of  ( hardcover in  , in the return of depression econ ...	0	0.54	4
she said thanks	1	0.075	2
